kpi,b1
average demand decrease,0.04313136227363445
average demand decrease intensity,0.0008985700473673843
average demand decrease index,0.10241856381618909
average demand increase,-0.0010473153646933726
average demand increase intensity,-2.1819070097778594e-05
average demand increase index,-0.006725700510261223
average power rebound,0.05521232137149878
average power rebound index,-0.15116094249871917
flexibility savings index,-2.978794000032403
energy savings of demand response,-7.0247862712259845
net building consumption change percentage,4.039295993303414
peak power reduction,-1.9297096838777854
tdis_tot,0.37857382222099834
